programme_id,codigo_ruct,university_name,sector,ccaa,modality,degree,centro,fallback_flag
P0099,,Universidad de Zaragoza,public,Aragon,presencial,primaria,,cross_validation_only
P0100,,Universidad de Oviedo,public,Asturias,presencial,infantil,,cross_validation_only
P0101,,Universidad de Oviedo,public,Asturias,presencial,primaria,,cross_validation_only
P0104,,Universidad de La Laguna,public,Canarias,presencial,primaria,,cross_validation_only
P0105,,Universidad de Las Palmas de Gran Canaria,public,Canarias,presencial,primaria,,cross_validation_only
P0106,,Universidad de Cantabria,public,Cantabria,presencial,infantil,,cross_validation_only
P0107,,Universidad de Cantabria,public,Cantabria,presencial,primaria,,cross_validation_only
P0114,,Universidad de Salamanca,public,Castilla y Leon,presencial,primaria,,cross_validation_only
P0115,,Universidad de Valladolid,public,Castilla y Leon,presencial,primaria,,cross_validation_only
P0116,,Universidad de Castilla-La Mancha,public,Castilla-La Mancha,presencial,infantil,,cross_validation_only
P0117,,Universidad de Castilla-La Mancha,public,Castilla-La Mancha,presencial,primaria,,cross_validation_only
P0118,,Universitat Oberta de Catalunya (UOC),public,Cataluna,online,infantil,,cross_validation_only
P0119,,Universitat Oberta de Catalunya (UOC),public,Cataluna,online,primaria,,cross_validation_only
P0121,,Universitat Politecnica de Catalunya,public,Cataluna,presencial,infantil,,cross_validation_only
P0127,,Universitat de Vic - UCC,public,Cataluna,presencial,infantil,,cross_validation_only
P0138,,Universitat Jaume I,public,Comunitat Valenciana,presencial,infantil,,cross_validation_only
P0139,,Universitat Politecnica de Valencia,public,Comunitat Valenciana,presencial,infantil,,cross_validation_only
P0148,,Universidade da Coruna,public,Galicia,presencial,infantil,,cross_validation_only
P0151,,Universidade da Coruna,public,Galicia,presencial,primaria,,cross_validation_only
P0154,,Universitat de les Illes Balears,public,Illes Balears,presencial,infantil,,cross_validation_only
P0155,,Universitat de les Illes Balears,public,Illes Balears,presencial,primaria,,cross_validation_only
P0166,,Universidad Politecnica de Madrid,public,Madrid,presencial,primaria,,cross_validation_only
P0167,,Universidad Rey Juan Carlos,public,Madrid,presencial,primaria,,cross_validation_only
P0171,,Universidad Publica de Navarra,public,Navarra,presencial,infantil,,cross_validation_only
P0172,,Universidad Publica de Navarra,public,Navarra,presencial,primaria,,cross_validation_only
P0173,,Universidad del Pais Vasco / Euskal Herriko Unibertsitatea,public,Pais Vasco,presencial,infantil,,cross_validation_only
P0174,,Universidad del Pais Vasco / Euskal Herriko Unibertsitatea,public,Pais Vasco,presencial,primaria,,cross_validation_only
